date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:43	12763/-1	---M--	200	added ('OK')	image/x-png	etag:%22/images/shelf/stereocamzps.png.2017-10-21%2005:50:38%22	http://127.0.0.1:48626/images/shelf/stereocamzps.png	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/images/shelf/stereocamzps.png	(from http://127.0.0.1:48626/nodes/obj/stereocamrig.html)
12:42:45	8120/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/KEYS/MMB.svg.2017-10-21%2005:55:00%22	http://127.0.0.1:48626/icons/KEYS/MMB.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/KEYS/MMB.svg	(from http://127.0.0.1:48626/nodes/obj/subnet.html)
12:42:45	1276/1276	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:42:45%20GMT	http://127.0.0.1:48626/icons/OBJ/Portal_Light.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/OBJ/Portal_Light.ba.delayed	(from http://127.0.0.1:48626/icons/OBJ/switcher.svg)
12:42:48	1285/1285	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:42:48%20GMT	http://127.0.0.1:48626/icons/VIEW/VIEW_display_objects.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/VIEW/VIEW_display_objects.bb.delayed	(from http://127.0.0.1:48626/icons/VIEW/display_objects.svg)
12:42:51	1274/1274	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:42:51%20GMT	http://127.0.0.1:48626/icons/NETWORKS/chops.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/NETWORKS/chops.bc.delayed	(from http://127.0.0.1:48626/icons/NETWORKS/chop.svg)
12:42:53	1273/1273	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:42:53%20GMT	http://127.0.0.1:48626/icons/NETWORKS/vops.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/NETWORKS/vops.bd.delayed	(from http://127.0.0.1:48626/icons/NETWORKS/vop.svg)
12:43:11	150528/150528	---M--	200	added ('OK')	application/octet-stream	etag:%221509783476.0-150528-99363870%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-ExtraLight.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-ExtraLight.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:43:14	117140/117140	---M--	200	added ('OK')	application/octet-stream	etag:%221509783476.0-117140-387329652%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-ExtraLightItalic.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-ExtraLightItalic.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:43:21	116960/116960	---M--	200	added ('OK')	application/octet-stream	etag:%221509783476.0-116960-833825904%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-LightItalic.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-LightItalic.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:43:23	150244/150244	---M--	200	added ('OK')	application/octet-stream	etag:%221509783476.0-150244-748759578%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-Light.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-Light.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:43:34	117328/117328	---M--	200	added ('OK')	application/octet-stream	etag:%221509783476.0-117328-1461529208%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-Italic.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-Italic.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:43:36	149972/149972	---M--	200	added ('OK')	application/octet-stream	etag:%221509783476.0-149972-2191993588%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-Regular.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-Regular.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:43:42	116424/116424	---M--	200	added ('OK')	application/octet-stream	etag:%221509783478.0-116424-3124309415%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-SemiboldItalic.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-SemiboldItalic.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:43:44	149636/149636	---M--	200	added ('OK')	application/octet-stream	etag:%221509783478.0-149636-2916952913%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-Semibold.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-Semibold.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:43:55	116192/116192	---M--	200	added ('OK')	application/octet-stream	etag:%221509783476.0-116192-73346041%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-BoldItalic.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-BoldItalic.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:43:58	148932/148932	---M--	200	added ('OK')	application/octet-stream	etag:%221509783476.0-148932-35072419%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-Bold.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-Bold.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:44:03	116360/116360	---M--	200	added ('OK')	application/octet-stream	etag:%221509783474.0-116360-811215957%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-BlackItalic.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-BlackItalic.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:44:06	148368/148368	---M--	200	added ('OK')	application/octet-stream	etag:%221509783474.0-148368-736766463%22	http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/SourceSansPro-Black.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Sans_Pro/SourceSansPro-Black.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Sans_Pro/source_sans.css)
12:44:14	121568/121568	---M--	200	added ('OK')	application/octet-stream	etag:%221509783474.0-121568-23997450%22	http://127.0.0.1:48626/static/fonts/Source_Code_Pro/SourceCodePro-Extralight.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Code_Pro/SourceCodePro-Extralight.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Code_Pro/source_code.css)
12:44:18	121284/121284	---M--	200	added ('OK')	application/octet-stream	etag:%221509783474.0-121284-671558118%22	http://127.0.0.1:48626/static/fonts/Source_Code_Pro/SourceCodePro-Light.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Code_Pro/SourceCodePro-Light.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Code_Pro/source_code.css)
12:44:23	120548/120548	---M--	200	added ('OK')	application/octet-stream	etag:%221509783474.0-120548-2107976384%22	http://127.0.0.1:48626/static/fonts/Source_Code_Pro/SourceCodePro-Regular.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Code_Pro/SourceCodePro-Regular.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Code_Pro/source_code.css)
12:44:26	120244/120244	---M--	200	added ('OK')	application/octet-stream	etag:%221509783474.0-120244-1382885967%22	http://127.0.0.1:48626/static/fonts/Source_Code_Pro/SourceCodePro-Medium.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Code_Pro/SourceCodePro-Medium.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Code_Pro/source_code.css)
12:44:28	1286/1286	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:44:28%20GMT	http://127.0.0.1:48626/static/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/fontawesome-webfont.d13e6e.delayed	(from http://127.0.0.1:48626/static/fonts/font-awesome.min.css)
12:44:31	1286/1286	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:44:31%20GMT	http://127.0.0.1:48626/static/fonts/fontawesome-webfont.eot?	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/fontawesome-webfont.d2d41d.delayed	(from http://127.0.0.1:48626/static/fonts/font-awesome.min.css)
12:44:33	120252/120252	---M--	200	added ('OK')	application/octet-stream	etag:%221509783474.0-120252-2829527837%22	http://127.0.0.1:48626/static/fonts/Source_Code_Pro/SourceCodePro-Semibold.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Code_Pro/SourceCodePro-Semibold.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Code_Pro/source_code.css)
12:44:34	1288/1288	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:44:33%20GMT	http://127.0.0.1:48626/static/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/fontawesome-webfont.d33e6e.delayed	(from http://127.0.0.1:48626/static/fonts/font-awesome.min.css)
12:44:36	120504/120504	---M--	200	added ('OK')	application/octet-stream	etag:%221509783474.0-120504-4255263087%22	http://127.0.0.1:48626/static/fonts/Source_Code_Pro/SourceCodePro-Bold.ttf	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/Source_Code_Pro/SourceCodePro-Bold.ttf	(from http://127.0.0.1:48626/static/fonts/Source_Code_Pro/source_code.css)
12:44:36	1287/1287	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:44:36%20GMT	http://127.0.0.1:48626/static/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/static/fonts/fontawesome-webfont.d43e6e.delayed	(from http://127.0.0.1:48626/static/fonts/font-awesome.min.css)
